Agente,Módulo,Datos,Fecha/Hora
"ldap1","disk_home_free","57.00","2014-10-03 9:53:52"
"ldap1","disk_home_free","57.00","2014-10-04 9:55:18"
"ldap1","disk_home_free","57.00","2014-10-05 9:56:45"
"ldap1","disk_home_free","57.00","2014-10-06 9:58:22"
"ldap1","disk_home_free","56.00","2014-10-06 15:57:34"
"ldap1","disk_home_free","57.00","2014-10-06 17:08:21"
"ldap1","disk_home_free","57.00","2014-10-07 17:10:31"
"ldap1","disk_home_free","57.00","2014-10-08 17:12:06"
"ldap1","disk_home_free","57.00","2014-10-09 17:13:53"
"ldap1","disk_home_free","57.00","2014-10-10 17:15:21"
"ldap1","disk_home_free","57.00","2014-10-11 17:17:05"
"ldap1","disk_home_free","57.00","2014-10-12 17:18:34"
"ldap1","disk_home_free","57.00","2014-10-13 17:20:46"
"ldap1","disk_home_free","57.00","2014-10-14 17:22:25"
"ldap1","disk_home_free","57.00","2014-10-15 17:24:35"
"ldap1","disk_home_free","56.00","2014-10-16 12:58:05"
"ldap1","disk_home_free","56.00","2014-10-17 12:59:53"
"ldap1","disk_home_free","56.00","2014-10-18 13:00:32"
"ldap1","disk_home_free","56.00","2014-10-19 13:01:58"
"ldap1","disk_home_free","56.00","2014-10-20 13:03:37"
"ldap1","disk_home_free","56.00","2014-10-21 13:05:49"
"ldap1","disk_home_free","56.00","2014-10-22 13:08:55"
"ldap1","disk_home_free","56.00","2014-10-23 13:11:34"
"ldap1","disk_home_free","56.00","2014-10-24 13:13:31"
"ldap1","disk_home_free","56.00","2014-10-25 13:16:16"
"ldap1","disk_home_free","56.00","2014-10-26 12:19:08"
"ldap1","disk_home_free","56.00","2014-10-27 12:21:18"
"ldap1","disk_home_free","56.00","2014-10-28 12:23:45"
"ldap1","disk_home_free","56.00","2014-10-29 12:24:25"
"ldap1","disk_home_free","56.00","2014-10-30 12:25:54"
"ldap1","disk_home_free","56.00","2014-10-31 12:27:17"
"ldap1","disk_home_free","56.00","2014-11-01 12:28:46"
"ldap1","disk_home_free","56.00","2014-11-02 12:30:11"
"ldap1","disk_home_free","56.00","2014-11-03 12:31:48"
"ldap1","disk_home_free","56.00","2014-11-04 12:33:23"
"ldap1","disk_home_free","56.00","2014-11-05 12:34:56"
"ldap1","disk_home_free","56.00","2014-11-06 12:37:13"
"ldap1","disk_home_free","56.00","2014-11-07 12:38:42"
"ldap1","disk_home_free","56.00","2014-11-08 12:40:23"
"ldap1","disk_home_free","56.00","2014-11-09 12:41:53"
"ldap1","disk_home_free","56.00","2014-11-10 12:43:27"
"ldap1","disk_home_free","56.00","2014-11-11 12:43:52"
"ldap1","disk_home_free","56.00","2014-11-12 12:45:27"
"ldap1","disk_home_free","56.00","2014-11-13 12:46:58"
"ldap1","disk_home_free","56.00","2014-11-14 12:48:34"
"ldap1","disk_home_free","56.00","2014-11-15 12:50:05"
"ldap1","disk_home_free","56.00","2014-11-16 12:51:30"
"ldap1","disk_home_free","56.00","2014-11-17 12:53:06"
"ldap1","disk_home_free","56.00","2014-11-18 12:54:46"
"ldap1","disk_home_free","56.00","2014-11-19 12:57:37"
"ldap1","disk_home_free","56.00","2014-11-20 13:01:57"
"ldap1","disk_home_free","56.00","2014-11-21 13:05:21"
"ldap1","disk_home_free","56.00","2014-11-22 13:06:55"
"ldap1","disk_home_free","56.00","2014-11-23 13:08:25"
"ldap1","disk_home_free","56.00","2014-11-24 13:09:57"
"ldap1","disk_home_free","56.00","2014-11-25 13:11:35"
"ldap1","disk_home_free","56.00","2014-11-26 13:13:20"
"ldap1","disk_home_free","56.00","2014-11-27 13:15:21"
"ldap1","disk_home_free","56.00","2014-11-28 13:16:59"
"ldap1","disk_home_free","56.00","2014-11-29 13:19:40"
"ldap1","disk_home_free","56.00","2014-11-30 13:21:09"
"ldap1","disk_home_free","56.00","2014-12-01 13:22:38"
"ldap1","disk_home_free","56.00","2014-12-02 13:24:15"
"ldap1","disk_home_free","56.00","2014-12-03 13:26:01"
"ldap1","disk_home_free","56.00","2014-12-04 13:28:03"
"ldap1","disk_home_free","56.00","2014-12-05 13:31:30"
"ldap1","disk_home_free","56.00","2014-12-06 13:33:11"
"ldap1","disk_home_free","56.00","2014-12-07 13:34:37"
"ldap1","disk_home_free","56.00","2014-12-08 13:36:12"
"ldap1","disk_home_free","56.00","2014-12-09 13:38:02"
"ldap1","disk_home_free","55.00","2014-12-10 12:48:59"
"ldap1","disk_home_free","55.00","2014-12-11 12:49:47"
"ldap1","disk_home_free","55.00","2014-12-12 12:54:07"
"ldap1","disk_home_free","55.00","2014-12-13 12:59:10"
"ldap1","disk_home_free","55.00","2014-12-14 13:03:42"
"ldap1","disk_home_free","55.00","2014-12-15 13:07:55"
"ldap1","disk_home_free","55.00","2014-12-16 13:12:11"
"ldap1","disk_home_free","55.00","2014-12-17 13:16:53"
"ldap1","disk_home_free","55.00","2014-12-18 13:22:46"
"ldap1","disk_home_free","55.00","2014-12-19 13:24:37"
"ldap1","disk_home_free","56.00","2014-12-19 17:32:12"
"ldap1","disk_home_free","56.00","2014-12-20 17:36:58"
"ldap1","disk_home_free","56.00","2014-12-21 17:41:05"
"ldap1","disk_home_free","56.00","2014-12-22 17:45:14"
"ldap1","disk_home_free","56.00","2014-12-23 17:49:22"
"ldap1","disk_home_free","56.00","2014-12-24 17:53:34"
"ldap1","disk_home_free","56.00","2014-12-25 17:57:46"
"ldap1","disk_home_free","56.00","2014-12-26 18:01:48"
"ldap1","disk_home_free","56.00","2014-12-27 21:21:03"
"ldap1","disk_home_free","56.00","2014-12-29 9:30:32"
"ldap1","disk_home_free","56.00","2014-12-31 11:36:57"
"ldap1","disk_home_free","56.00","2015-01-03 23:54:44"
"ldap1","disk_home_free","56.00","2015-01-05 14:19:54"
"ldap1","disk_home_free","56.00","2015-01-06 23:14:56"
"ldap1","disk_home_free","56.00","2015-01-08 1:46:31"
"ldap1","disk_home_free","56.00","2015-01-09 1:46:53"
"ldap1","disk_home_free","56.00","2015-01-10 1:51:04"
"ldap1","disk_home_free","56.00","2015-01-11 1:55:07"
"ldap1","disk_home_free","56.00","2015-01-12 1:59:25"
"ldap1","disk_home_free","56.00","2015-01-13 2:04:25"
"ldap1","disk_home_free","56.00","2015-01-14 2:08:38"
"ldap1","disk_home_free","55.00","2015-01-14 12:09:52"
"ldap1","disk_home_free","54.00","2015-01-14 12:27:34"
"ldap1","disk_home_free","53.00","2015-01-14 12:51:09"
"ldap1","disk_home_free","52.00","2015-01-14 13:08:51"
"ldap1","disk_home_free","52.00","2015-01-15 13:14:11"
"ldap1","disk_home_free","52.00","2015-01-16 13:18:30"
"ldap1","disk_home_free","52.00","2015-01-17 13:22:55"
"ldap1","disk_home_free","52.00","2015-01-18 13:27:12"
"ldap1","disk_home_free","52.00","2015-01-19 13:31:48"
"ldap1","disk_home_free","51.00","2015-01-19 18:44:36"
"ldap1","disk_home_free","50.00","2015-01-19 18:56:25"
"ldap1","disk_home_free","49.00","2015-01-19 19:08:14"
"ldap1","disk_home_free","48.00","2015-01-19 19:26:03"
"ldap1","disk_home_free","47.00","2015-01-19 19:37:50"
"ldap1","disk_home_free","47.00","2015-01-20 19:42:56"
"ldap1","disk_home_free","46.00","2015-01-21 11:43:46"
"ldap1","disk_home_free","45.00","2015-01-21 12:01:28"
"ldap1","disk_home_free","44.00","2015-01-21 12:13:16"
"ldap1","disk_home_free","44.00","2015-01-22 12:18:13"
"ldap1","disk_home_free","44.00","2015-01-23 12:21:24"
"ldap1","disk_home_free","44.00","2015-01-24 12:25:31"
"ldap1","disk_home_free","44.00","2015-01-25 12:29:39"
"ldap1","disk_home_free","44.00","2015-01-26 12:34:01"
"ldap1","disk_home_free","44.00","2015-01-27 12:34:40"
"ldap1","disk_home_free","44.00","2015-01-28 12:38:53"
"ldap1","disk_home_free","44.00","2015-01-29 12:43:32"
"ldap1","disk_home_free","44.00","2015-01-30 12:47:46"
"ldap1","disk_home_free","44.00","2015-01-31 12:51:51"
"ldap1","disk_home_free","44.00","2015-02-01 12:56:04"
"ldap1","disk_home_free","44.00","2015-02-02 13:00:16"
"ldap1","disk_home_free","44.00","2015-02-03 13:04:44"
"ldap1","disk_home_free","44.00","2015-02-04 13:09:01"
"ldap1","disk_home_free","44.00","2015-02-05 13:13:54"
"ldap1","disk_home_free","44.00","2015-02-06 13:18:13"
"ldap1","disk_home_free","44.00","2015-02-07 13:22:57"
"ldap1","disk_home_free","44.00","2015-02-08 13:27:03"
"ldap1","disk_home_free","44.00","2015-02-09 13:31:24"
"ldap1","disk_home_free","44.00","2015-02-10 13:36:06"
"ldap1","disk_home_free","44.00","2015-02-11 13:40:18"
"ldap1","disk_home_free","44.00","2015-02-12 13:45:07"
"ldap1","disk_home_free","44.00","2015-02-13 13:49:18"
"ldap1","disk_home_free","44.00","2015-02-14 13:53:31"
"ldap1","disk_home_free","44.00","2015-02-15 13:57:42"
"ldap1","disk_home_free","44.00","2015-02-16 14:01:54"
"ldap1","disk_home_free","44.00","2015-02-17 14:02:24"
"ldap1","disk_home_free","44.00","2015-02-18 14:06:31"
"ldap1","disk_home_free","43.00","2015-02-18 18:55:21"
"ldap1","disk_home_free","43.00","2015-02-19 18:59:51"
"ldap1","disk_home_free","42.00","2015-02-20 10:43:23"
"ldap1","disk_home_free","42.00","2015-02-21 10:48:18"
"ldap1","disk_home_free","42.00","2015-02-22 10:52:42"
"ldap1","disk_home_free","42.00","2015-02-23 10:56:49"
"ldap1","disk_home_free","42.00","2015-02-24 11:01:23"
"ldap1","disk_home_free","42.00","2015-02-25 11:05:47"
"ldap1","disk_home_free","41.00","2015-02-25 19:03:16"
"ldap1","disk_home_free","41.00","2015-02-26 19:08:02"
"ldap1","disk_home_free","41.00","2015-02-27 19:12:19"
